youtube_video_id,youtube_url,title_original,channel_name,language,topic,duration_seconds,availability,description_checked,description_characters,youtube_chapters_checked,chapter_count,captions_checked,caption_languages,contains_marketing_signal,professional_source_signal,evidence_score,preliminary_decision,decision_reason
X1fhTu0_Z_A,https://www.youtube.com/watch?v=X1fhTu0_Z_A,הארד אנדורו חובבנים - יערות מנשה ונחל גחר - תקציר,טל סנדרוני,he,hills,337,public,True,123,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
4IFh2sVDKak,https://www.youtube.com/watch?v=4IFh2sVDKak,"ווסט מתנפח כרית אויר לאופנוע כרית אויר,Airbag for sport motorcycle",לד סטאר ישראל LED STAR ISRAEL,he,protective_gear,49,public,True,62,True,0,True,,False,False,1,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
JYJnIDwEFdg,https://www.youtube.com/watch?v=JYJnIDwEFdg,בדיקות חורף | הכנה של האופנוע והקטנוע לחורף | מומנט אופנועים - ירושלים,מומנט אופנועים - מקצוענות מעל הכל,he,pre_ride,138,public,True,1093,True,0,True,,False,False,3,rejected,no_chapters_or_captions_for_content_evidence
ZwbIqpipFrY,https://www.youtube.com/watch?v=ZwbIqpipFrY,טבק אום קוניץ - רכיבת אופנועים,משה טיולי שטח Moto Tours,he,navigation,192,public,True,90,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|en-orig|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,5,eligible_for_content_review,caption_tracks=157
lP9Z1aw776A,https://www.youtube.com/watch?v=lP9Z1aw776A,Counter Steering Explained: The Skill That Saves Lives | Scooter Basics #7 [Second Edition],Luke Watson - Truck & Motorcycle Training,en,countersteering,1516,public,True,4191,True,7,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|en-orig|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,True,10,eligible_for_content_review,youtube_chapters=7; caption_tracks=157; professional_source_signal
It3Xes7g6h0,https://www.youtube.com/watch?v=It3Xes7g6h0,רכיבה מתקדמת - רכיבה נכונה על אופנוע.👍❗♨️👊,Moto Lamed,he,emergency_braking,350,public,True,70,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
rEyP9Nxhcz0,https://www.youtube.com/watch?v=rEyP9Nxhcz0,2022 Africa Twin Adventure Sports DCT | Best TFT Rider Modes for Road & Off-Road,ADV Brett,en,gravel,381,public,True,2028,True,4,True,,True,False,3,eligible_for_content_review,youtube_chapters=4; marketing_signal_present
7As5eL1WE0A,https://www.youtube.com/watch?v=7As5eL1WE0A,הדרכות מתקדמים ומתחילים עם פול טארס בישראל,ADV Moto Life,he,channel_seed,1350,public,True,278,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,True,7,eligible_for_content_review,caption_tracks=157; professional_source_signal
bzH5217CRrw,https://www.youtube.com/watch?v=bzH5217CRrw,🇨🇦 7 Off Road Recoveries = 1 LONG Day!,All Terrain Rescue,en,recovery,7120,public,True,2908,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|en-orig|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,5,rejected,too_long_for_focused_guide_entry
HM7mDohvCZo,https://www.youtube.com/watch?v=HM7mDohvCZo,לימוד רכיבת שטח בעלייה עם דרדרת,Cohen Adventure (‫צביקה כהן השטח‬‎),he,instructor_seed,473,public,True,247,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
