youtube_video_id,youtube_url,title_original,channel_name,language,topic,duration_seconds,availability,description_checked,description_characters,youtube_chapters_checked,chapter_count,captions_checked,caption_languages,contains_marketing_signal,professional_source_signal,evidence_score,preliminary_decision,decision_reason
eDiLjZyPtP8,https://www.youtube.com/watch?v=eDiLjZyPtP8,איזה בלם לבלום בבלימת חירום?,משה פרחי - רכיבה מתקדמת,he,emergency_braking,34,public,True,87,True,0,True,,False,True,3,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
lK3FtKKaMVo,https://www.youtube.com/watch?v=lK3FtKKaMVo,לרכב עם משוגעים,2wheel-adventure,he,gravel,593,public,True,163,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
0KIjudJZjVg,https://www.youtube.com/watch?v=0KIjudJZjVg,עליית המוות של שפית- אדוונצ'ר בהרי ירושלים,ADV Moto Life,he,obstacles,697,public,True,230,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
vTlHV9zIlkA,https://www.youtube.com/watch?v=vTlHV9zIlkA,fox head ציוד לרכיבת שטח ומוטוקרוס,FOX HEAD Israel,he,protective_gear,190,public,True,150,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
PCcZCLdLLfM,https://www.youtube.com/watch?v=PCcZCLdLLfM,רכיבה בבוץ אחרי שבועיים של גשם ביער בן שמן 10.1.2020,kRuvi,he,mud,68,public,True,0,True,0,True,,False,False,0,rejected,description_missing; no_chapters_or_captions_for_content_evidence
uGk1EH74qeM,https://www.youtube.com/watch?v=uGk1EH74qeM,ניב אופנועים - טיפים לרכישת אופנוע משומש,nivmoto,he,pre_ride,111,public,True,114,True,0,True,,False,False,1,rejected,no_chapters_or_captions_for_content_evidence
OLNDCTlHmWE,https://www.youtube.com/watch?v=OLNDCTlHmWE,תחשבו על הפנייה האהובה עליכם... תחשבו על אחיזת כביש מושלמת... תחשבו על הפיירבלייד החדש של הונדה!,הונדה אופנועים,he,fatigue,45,public,True,0,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,3,rejected,too_short_for_release_depth; description_missing
t9ah2d7bW1w,https://www.youtube.com/watch?v=t9ah2d7bW1w,החלפת פנימית - באופנוע שטח או קטנוע,הכלך האבוד,he,puncture,1237,public,True,106,True,0,True,,False,True,4,rejected,no_chapters_or_captions_for_content_evidence
S8KUwhyx1YU,https://www.youtube.com/watch?v=S8KUwhyx1YU,"אז מי זה החכם רלב""ד? מגלים את הסוד!",הרשות הלאומית לבטיחות בדרכים,he,safety_body,62,public,True,26,True,0,True,iw,False,True,6,eligible_for_content_review,caption_tracks=1; professional_source_signal
i7vcL3L7750,https://www.youtube.com/watch?v=i7vcL3L7750,איך לנקות שרשרת אופנוע - תחזוקה נכונה,SobeR RideR,he,maintenance,459,public,True,1372,True,8,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,8,eligible_for_content_review,youtube_chapters=8; caption_tracks=157
